CAGR,AnnVol,Sharpe,MaxDD
-0.038400,0.129086,-0.238541,-0.696001
-0.051610,0.128188,-0.349100,-0.726481
-0.023678,0.130580,-0.117993,-0.626129
-0.041919,0.128061,-0.270161,-0.605490
-0.061657,0.132963,-0.411829,-0.779458
-0.059048,0.129168,-0.406310,-0.669285
-0.024770,0.126194,-0.135475,-0.514385
-0.111578,0.128591,-0.855281,-0.859284
-0.044983,0.127866,-0.295821,-0.617051
-0.035293,0.128963,-0.213868,-0.598234
-0.031985,0.122401,-0.204217,-0.506845
-0.088110,0.131576,-0.634817,-0.800928
-0.023589,0.127392,-0.123419,-0.452988
-0.100322,0.133179,-0.726803,-0.897455
-0.037291,0.127062,-0.235373,-0.753925
-0.030181,0.127039,-0.177541,-0.514299
-0.093152,0.130788,-0.681823,-0.801881
-0.049133,0.129512,-0.324058,-0.666941
-0.098132,0.133076,-0.709170,-0.838309
-0.017999,0.126787,-0.079716,-0.570641
-0.063917,0.125742,-0.462164,-0.730942
-0.064573,0.134745,-0.427657,-0.681962
-0.095700,0.128476,-0.718352,-0.822797
0.002235,0.125474,0.080689,-0.334006
-0.042625,0.122430,-0.294415,-0.558434
-0.054136,0.130137,-0.362345,-0.642688
-0.143145,0.133040,-1.094032,-0.920581
-0.042298,0.126836,-0.277120,-0.730919
-0.024945,0.131980,-0.125116,-0.604600
-0.042203,0.125667,-0.280121,-0.613474
-0.023506,0.128509,-0.120550,-0.479410
-0.061013,0.128058,-0.427275,-0.718805
-0.023457,0.129152,-0.118980,-0.668561
-0.106146,0.132293,-0.781653,-0.853159
0.003993,0.129457,0.095738,-0.584045
-0.043789,0.126058,-0.291993,-0.693892
-0.101187,0.130047,-0.754834,-0.854418
-0.083445,0.126694,-0.624060,-0.774299
-0.032183,0.128373,-0.190392,-0.549149
-0.054785,0.126173,-0.383250,-0.593480
0.021347,0.128465,0.228911,-0.338142
-0.101086,0.127129,-0.774238,-0.847784
-0.069938,0.130169,-0.491603,-0.744125
-0.027938,0.126420,-0.160751,-0.576883
-0.040519,0.124995,-0.268204,-0.641733
-0.107600,0.129498,-0.813919,-0.850232
-0.117822,0.130494,-0.894893,-0.872293
-0.034355,0.129485,-0.205026,-0.644079
-0.075908,0.132126,-0.531033,-0.730591
-0.061379,0.127158,-0.434315,-0.685126
-0.015273,0.127456,-0.056847,-0.395052
-0.075504,0.127796,-0.550022,-0.738361
-0.095860,0.127138,-0.728640,-0.833911
-0.059643,0.127941,-0.416412,-0.631645
-0.014734,0.126161,-0.054434,-0.550793
-0.146571,0.129255,-1.160985,-0.936174
-0.107762,0.129236,-0.817287,-0.845294
-0.034181,0.129326,-0.204014,-0.657585
-0.053068,0.126982,-0.365672,-0.680532
-0.088541,0.128895,-0.654447,-0.807338
-0.097372,0.131340,-0.713885,-0.817910
-0.094852,0.129455,-0.704647,-0.800301
-0.102461,0.131061,-0.758792,-0.842069
-0.097534,0.130689,-0.719498,-0.820344
-0.093863,0.126013,-0.718832,-0.839003
-0.050926,0.128330,-0.342888,-0.640220
-0.131025,0.130860,-1.007221,-0.893120
0.017033,0.128877,0.195688,-0.351416
-0.003448,0.129505,0.038294,-0.367111
-0.045130,0.127490,-0.298295,-0.537735
-0.066008,0.131106,-0.454998,-0.729441
-0.118964,0.129852,-0.909952,-0.889271
