Date,regime,gross_ret,trading_costs,mgmt_fee,borrow_costs,net_ret,equity,bench_net_ret,bench_equity
2018-09-27,bull,0.00472899,-0.00002958,-0.00000000,-0.00000504,0.00469437,1.05398957,0.00279096,3.03285380
2018-09-28,bull,0.00325616,-0.00002936,-0.00000000,-0.00000530,0.00322150,1.05738500,0.00009952,3.03315562
2018-10-01,bull,-0.00457088,-0.00001767,-0.00000000,-0.00000546,-0.00459402,1.05252735,0.00347068,3.04368273
2018-10-02,bull,-0.01914421,-0.00006095,-0.00000000,-0.00000474,-0.01920991,1.03230840,-0.00058639,3.04189796
2018-10-03,bull,0.00423120,-0.00001804,-0.00000000,-0.00000494,0.00420822,1.03665258,0.00054490,3.04355548
2018-10-04,bull,-0.02248792,-0.00014510,-0.00000000,-0.00000471,-0.02263773,1.01318511,-0.00781880,3.01975854
2018-10-05,bull,-0.00447864,-0.00006493,-0.00000000,-0.00000563,-0.00454920,1.00857594,-0.00560089,3.00284522
2018-10-08,bull,-0.01223639,-0.00005040,-0.00000000,-0.00000609,-0.01229288,0.99617763,-0.00000357,3.00283449
2018-10-09,bull,0.00296863,-0.00003513,-0.00000000,-0.00000662,0.00292687,0.99909331,-0.00146295,2.99844149
2018-10-10,neutral,-0.02484798,-0.00005195,-0.00000000,-0.00000581,-0.02490574,0.97421016,-0.03166659,2.90349109
2018-10-11,bear,0.00263661,-0.00008107,-0.00000000,-0.00000518,0.00255036,0.97669474,-0.02202997,2.83952726
2018-10-12,bull,0.01809266,-0.00005618,-0.00000000,-0.00000398,0.01803249,0.99430698,0.01388472,2.87895329
2018-10-15,neutral,-0.00442152,-0.00003963,-0.00000000,-0.00000385,-0.00446501,0.98986739,-0.00562080,2.86277127
2018-10-16,bull,0.01737725,-0.00002696,-0.00000000,-0.00000323,0.01734706,1.00703868,0.02186227,2.92535794
2018-10-17,bull,-0.00280944,-0.00002238,-0.00000000,-0.00000328,-0.00283509,1.00418364,0.00017513,2.92587026
2018-10-18,bull,-0.00730170,-0.00008561,-0.00000000,-0.00000360,-0.00739091,0.99676180,-0.01444500,2.88360608
2018-10-19,bull,-0.00965725,-0.00006224,-0.00000000,-0.00000410,-0.00972359,0.98706969,-0.00054590,2.88203191
2018-10-22,neutral,0.00402867,-0.00004559,-0.00000000,-0.00000459,0.00397849,0.99099674,-0.00449247,2.86908446
2018-10-23,neutral,-0.00744428,-0.00003422,-0.00000000,-0.00000497,-0.00748347,0.98358065,-0.00509438,2.85446826
2018-10-24,bear,-0.00641205,-0.00002742,-0.00000000,-0.00000535,-0.00644482,0.97724164,-0.03030189,2.76797248
2018-10-25,bear,-0.00524082,-0.00006307,-0.00000000,-0.00000518,-0.00530907,0.97205340,0.01793668,2.81762072
2018-10-26,bear,-0.00086999,-0.00004917,-0.00000000,-0.00000553,-0.00092468,0.97115456,-0.01759102,2.76805591
2018-10-29,bear,-0.00424273,-0.00003921,-0.00000000,-0.00000593,-0.00428787,0.96699037,-0.00554352,2.75271112
2018-10-30,bear,-0.01009160,-0.00002766,-0.00000000,-0.00000633,-0.01012560,0.95719901,0.01481472,2.79349177
2018-10-31,bear,-0.00923847,-0.00002331,-0.00000000,-0.00000678,-0.00926856,0.94832716,0.01067741,2.82331902
2018-11-01,neutral,-0.00513975,-0.00008586,-0.00000000,-0.00000687,-0.00523249,0.94336505,0.01063807,2.85335370
2018-11-02,bear,-0.00056264,-0.00006613,-0.00000000,-0.00000711,-0.00063588,0.94276518,-0.00592646,2.83644342
2018-11-05,bear,-0.00093549,-0.00005277,-0.00000000,-0.00000754,-0.00099579,0.94182639,0.00551318,2.85208125
2018-11-06,bear,-0.00502076,-0.00004499,-0.00000000,-0.00000823,-0.00507398,0.93704758,0.00632454,2.87011936
2018-11-07,neutral,0.00324091,-0.00002815,-0.00000000,-0.00000859,0.00320417,0.94005003,0.02140525,2.93155499
2018-11-08,neutral,-0.00021364,-0.00008556,-0.00000000,-0.00000842,-0.00030762,0.93976085,-0.00181847,2.92622403
